id,edad,ingreso_anual,sesiones_web_mes,gasto_promedio_mensual,antiguedad_dias,ratio_endeudamiento,distancia_sucursal_km,indice_digital,compra_premium,cluster_referencia
294,19.0,22563.2,7.0,2284.92,260.0,0.175,3.54,0.989,1,1
344,32.0,16793.31,6.0,1933.25,303.0,0.103,7.02,0.629,1,1
258,32.0,19582.25,6.0,1882.2,425.0,0.321,11.98,0.563,0,1
309,45.0,32579.67,11.0,2572.8,,0.728,0.32,0.627,0,2
150,18.0,24184.31,3.0,1793.91,284.0,0.131,7.9,0.806,1,0
131,24.0,37593.39,7.0,2568.28,,0.343,1.17,0.677,0,1
152,33.0,12400.14,4.0,1215.31,318.0,0.277,44.38,0.414,0,0
100,24.0,12384.37,6.0,1207.9,288.0,0.484,1.44,0.648,0,0
88,30.0,19925.64,7.0,2286.74,346.0,0.711,71.4,0.87,0,1
331,38.0,41286.45,7.0,2720.37,176.0,0.708,2.07,0.811,1,1
215,36.0,24970.24,10.0,2347.93,323.0,0.72,21.47,0.566,0,2
122,44.0,107536.75767683522,5.0,3325.17,382.0,0.882,4.07,0.909,1,2
368,24.0,12384.37,6.0,1207.9,288.0,0.484,1.44,0.648,0,0
21,42.0,27868.74,6.0,2423.67,233.0,0.584,2.46,0.708,1,1
189,34.0,,3.0,2109.42,244.0,0.183,10.05,0.378,0,1
72,27.0,26360.22,7.0,1784.74,127.0,0.295,10.13,0.361,0,0
107,43.0,21478.7,4.0,2089.79,352.0,0.583,6.04,0.989,1,1
271,53.0,40628.4,10.0,3008.66,812.0,0.199,16.15,0.843,1,2
349,23.0,31062.99,4.0,2564.25,141.0,0.624,13.77,,0,1
103,22.0,27804.32,4.0,1774.66,121.0,0.451,2.16,0.203,0,0
